,id,img_loc,score,name,gender,age,city,state,zip
0,33642189_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33642189_3.jpg?Signature=0vT9MB5LtYofyHFjY3kvxFMr3ms%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.111618143876,Foxxy,F,Senior,Milpitas,CA,95035
1,33243289_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33243289_1.jpg?Signature=86ai%2B9q%2FIMyMxCW9D2XgUAu6g70%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.114994888941,Grits,M,Young,Dublin,CA,94568
2,32938890_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32938890_3.jpg?Signature=iv3prBIMPjD1eFVMDrvzOpKPEiM%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.141427252605,Lilly,F,Young,Dublin,CA,94568
3,33472953_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33472953_1.jpg?Signature=AGO92MtKtv2JkvvO5TZQVUMv%2FM0%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.152023882623,Chianti,F,Adult,Pittsburg,CA,94565
4,33492113_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33492113_2.jpg?Signature=Af6qQmdlnzzI%2FRi9KXq%2FNc2kGf4%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.155426091571,Foxy A332896,F,Adult,San Francisco,CA,94103
5,31117336_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/31117336_2.jpg?Signature=hRhrto6dxW%2FiONSRKztZHGcMTbU%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.156817897342,Oliver,M,Young,Lodi,CA,95241
6,32809871_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32809871_3.jpg?Signature=zjaoEQZLZnY4Q%2BMnpyIRm1Oizmk%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.160717936494,Tiny Tim,M,Adult,Turlock,CA,95380
7,33612310_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33612310_1.jpg?Signature=%2FO6tyAY0e4oH7dNr9mFnjiASZRs%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.160760021909,Derek,M,Adult,Fremont,CA,94536
8,33568036_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33568036_1.jpg?Signature=8YampMxMZAGbG5pjkwJgAwhyKuc%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.162026966652,"RALPH  *** FEATURED PET, SPECIAL FEE***",M,Adult,Felton,CA,95018
9,32772259_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32772259_2.jpg?Signature=%2BEgJqSPUfLBRQepgpxHqg2FuYbw%3D&Expires=1447890710&AWSAccessKeyId=AKIAJRRHY72F4GUYGB7Q,0.163519954106,Tawny,F,Adult,Freestone,CA,95472
