,id,img_loc,score,name,gender,age,city,state,zip
0,32740291_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32740291_3.jpg?Signature=558XTSDUul100vNT43jLUKgxNR8%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.102797635332,Max,M,Adult,Antioch,CA,94531
1,32572756_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32572756_3.jpg?Signature=%2F%2FZVuncG3rf%2FvA5I%2B9juHxiXsZQ%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.107255181962,Romulus (Romy),M,Young,San Jose,CA,95118
2,32572768_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32572768_3.jpg?Signature=T2k0hsLZpjH0C%2FWdORw4QUA7NSc%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.107255181962,Remus (Remy),M,Young,San Jose,CA,95118
3,33194378_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33194378_1.jpg?Signature=zcQH2r2mbfTsSd1dyPCOY99e4EI%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.109535557588,Poco,M,Senior,Lodi,CA,95241
4,32001039_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32001039_1.jpg?Signature=yLsFmahkeIV1Dg1s%2FkRKMgfLghY%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.116185513779,Sandy,F,Senior,Antioch,CA,94531
5,33651069_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33651069_1.jpg?Signature=EbYyPIA6c7fDq%2FcXc8bT%2BzBGwNk%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.116713687982,Tiny Tim,M,Adult,Oakdale,CA,95361
6,33664808_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33664808_2.jpg?Signature=9H%2F8S7DLYCUBNQh179vsz9ankoU%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.117120651546,Russell,M,Young,Monterey,CA,93940
7,33194608_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33194608_2.jpg?Signature=%2FwOSVcx9ilMpUKRZs%2Bj78FE3lpQ%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.11939694457,Teddy,M,Baby,Winters,CA,95694
8,33622760_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33622760_1.jpg?Signature=oUgiFia6NsuCYsr%2BeO70B8vsIuY%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.122047921925,Cayenne,F,Baby,Pleasanton,CA,94588
9,33616767_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33616767_2.jpg?Signature=x09nlbF54Ip72J4dNHVyMOYsvrU%3D&Expires=1448615102&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.125618530156,Ralph,M,Baby,Los Banos,CA,93635
