,id,img_loc,score,name,gender,age,city,state,zip
0,32943931_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32943931_1.jpg?Signature=6zSmU5Pagd5ZGFhHzz%2BPlWHxz4c%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.127800563005,Misty,F,Adult,Redwood City,CA,94063
1,33478613_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33478613_2.jpg?Signature=uEN8K%2FdBk%2B%2FCS34A73rdmf%2BRD%2BI%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.162679489885,Henna,F,Senior,San Francisco,CA,94115
2,33478742_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33478742_2.jpg?Signature=Pw4NfkOuGIB%2FxSLwr8VkTCTvfuo%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.168127999996,Angus,M,Adult,San Francisco,CA,94115
3,32844347_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32844347_1.jpg?Signature=c6XniWovTEHGRB5BHdEp7hR7GRw%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.168192281485,Sam,M,Adult,Los Banos,CA,93635
4,33603420_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33603420_3.jpg?Signature=joDvNBrF0ATvpsNh7D9X%2FxpFKxI%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.178706400091,Pringle,M,Young,Penngrove,CA,94951
5,32644211_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32644211_1.jpg?Signature=hn1xtXHXrT31kKA3oDyJPN%2FoPaw%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.184469171957,Hanna,F,Adult,San Jose,CA,95128
6,32673023_3,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/32673023_3.jpg?Signature=0QVzWZ9jQdqnafRXgYmVPr%2Fib%2BY%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.187092307006,Canella,F,Young,Palo Alto,CA,94306
7,33623252_2,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33623252_2.jpg?Signature=%2Bci9AuVM1sbExcRitej2G8CUUUI%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.189479353289,Becca,F,Adult,Manteca,CA,95337
8,33539319_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33539319_1.jpg?Signature=VZv6eMerXatkIzKGRT2DeTPZYJU%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.191937244952,Darcy,F,Young,Oakland,CA,94602
9,33618904_1,https://akiajrrhy72f4guygb7-1.s3.amazonaws.com/33618904_1.jpg?Signature=U9NYAi0%2Fad8H%2FGih0S55vtbVgCc%3D&Expires=1448616036&AWSAccessKeyId=AKIAIA4SL4BMUUBAWR5Q,0.195821814123,Buddy,M,Senior,Napa,CA,94559
